date,rebalanced,turnover,SPY,IWD,IWF,IWM,EFA,EEM,VWO,TLT,IEF,LQD,HYG,GLD,SLV,VNQ,DBC,USO
2010-04-30,true,1.1721271049662412,-1.5992461693051626e-9,-1.490844143473009e-9,0.09554597808901559,0.013715379478040019,-8.260701513755475e-9,-1.9949947411667392e-8,-1.845871204484921e-8,0.2141597972325234,0.3000000044391531,0.1581697818138187,0.10039830812553689,0.09278968277936897,-3.2516245178630275e-9,-1.0308129466082069e-9,0.02522112553056036,-3.4535361887776726e-9
2010-05-28,true,1.1777713736682635e-6,4.2290040033716045e-9,1.0237842596211144e-8,0.09554639061790124,0.013714907702052996,5.9696811798768885e-9,3.4575111352479393e-9,3.805684415679136e-9,0.21415977368923328,0.30000000452165815,0.1581698126309698,0.10039832658033618,0.09278972253944598,6.4233718598270025e-9,-3.366026430606553e-9,0.025221034304074404,-3.340728207785507e-9
2010-06-30,true,1.1371247629337201e-6,1.0193795130328998e-8,1.5529530188665587e-8,0.09554682079325777,0.013714435499612689,1.1874042002904047e-8,8.506568972566745e-9,9.086193009896104e-9,0.21415975515180427,0.30000000702528185,0.15816984417080907,0.10039835343936193,0.09278976442337043,8.183060802250397e-9,2.9344326565784484e-10,0.025220956475192995,-6.560503145433019e-10
2010-07-30,true,1.233301258145992e-6,1.4642132473958287e-8,1.9070394339318217e-8,0.09554729654585062,0.013713919710806086,1.5404413565425372e-8,1.0884096291785877e-8,1.1657298945588095e-8,0.21415973594219664,0.30000000980772423,0.1581698777958716,0.10039838636502567,0.0927898147538826,9.016558938713516e-9,2.4826360887540503e-9,0.02522087482009511,1.0845247714810103e-9
2010-08-31,true,9.042059307091714e-7,1.345459951913252e-8,1.66508400357839e-8,0.09554764830871151,0.013713544875686063,1.3360580597911035e-8,8.904501638809828e-9,9.667172309177993e-9,0.21415972560200208,0.3000000127005783,0.15816990571119016,0.10039841398255166,0.09278985592756689,8.006157682228684e-9,2.007358139791702e-9,0.02522081899753694,1.8240182029774638e-9
2010-09-30,true,6.827946196575256e-7,1.0958117047921953e-8,1.303715859032206e-8,0.09554791555690471,0.013713264410946472,1.0462730202005355e-8,6.7960486553095325e-9,7.421823639113228e-9,0.21415971997026792,0.30000001370235163,0.15816992631238302,0.10039843482689417,0.09278988763076433,6.385467880999712e-9,1.6790396279996076e-9,0.02522077915540954,1.6775233291857066e-9
2010-10-29,true,7.093797660657333e-7,9.78583504842611e-9,1.1913963128256767e-8,0.09554819661606986,0.013712967327378735,9.562491465326319e-9,6.441294944958815e-9,7.037135507606584e-9,0.21415971270906056,0.3000000137230323,0.15816994652304917,0.10039845447863655,0.09278992137949622,6.117336054396945e-9,1.2106022557408028e-9,0.02522073367314355,1.4875118237801186e-9
2010-11-30,true,7.05385114799718e-7,8.11432252153726e-9,1.0944077430959862e-8,0.09554847339092444,0.013712675945288515,8.562939438814763e-9,5.74802777365858e-9,6.364936007769994e-9,0.2141597068595642,0.3000000145663081,0.15816996861958105,0.10039847271996487,0.09278995561822788,6.614931101501714e-9,-2.4862669404480053e-10,0.02522068511031488,1.0547754135258058e-9
2010-12-31,true,6.470037478340313e-7,6.045855347340826e-9,9.48389126961556e-9,0.0955487286789376,0.0137124125329519,7.101701485131136e-9,4.6644169353165045e-9,5.220858427167802e-9,0.21415970312588026,0.30000001555007316,0.1581699905911309,0.1003984873449155,0.09278998610421978,6.762936212497905e-9,-1.5981575184246218e-9,0.02522063824893478,1.2781449187443058e-10
2011-01-31,true,5.345280098730431e-7,3.984527011237723e-9,7.779659799227228e-9,0.09554893970255636,0.01371219491110401,5.331212149540292e-9,3.422584982017226e-9,3.912035611957281e-9,0.2141597017330303,0.30000001579012053,0.1581700102575042,0.10039849819575447,0.09279001158848492,6.302914041365416e-9,-2.4346222860313108e-9,0.02522059983409033,-3.223186899896276e-10
2011-02-28,true,6.416149958022362e-7,2.527169770716387e-9,7.642585684203403e-9,0.09554919988167705,0.013711927025764228,4.682895494786344e-9,3.099382281257726e-9,3.568187667146738e-9,0.21415970099875806,0.3000000169648437,0.15817003348408687,0.10039850757139869,0.09279003762482922,7.1178339807703615e-9,-3.9962452585892916e-9,0.02522055339966884,-1.6045243722259995e-9
2011-03-31,true,6.492309180922874e-7,-1.4540349468347265e-9,6.108183807446506e-9,0.09554946731609534,0.01371166601960505,2.0711968959589877e-9,9.101153090891101e-10,1.3744983223097068e-9,0.21415970936774567,0.3000000214083447,0.15817006152348295,0.10039850801583129,0.09279005207405974,8.551908249283158e-9,-8.15396528692057e-9,0.025220510723253178,-5.870845695164326e-9
2011-04-29,true,6.416017011012258e-7,-3.816212187397799e-9,5.137943294532145e-9,0.09554973729826349,0.013711400791864234,7.113088285522185e-10,-4.6737277211555064e-11,3.718194941892022e-10,0.2141597175538622,0.3000000242190707,0.15817008977651906,0.1003985061990478,0.09279006336793726,8.827827651177636e-9,-9.714734543226633e-9,0.025220466896242084,-7.586561218726586e-9
2011-05-31,true,8.034058093304457e-7,-5.587273101089973e-9,5.2479239840714e-9,0.09555007509813845,0.013711065093836445,2.890953633601247e-10,-2.474298188170534e-10,2.833842531466939e-10,0.2141597264259295,0.30000002723989394,0.15817012303735245,0.10039850634103822,0.0927900816216729,9.070705621431713e-9,-1.2054965275324923e-8,0.025220406437193497,-8.31047763710419e-9
2011-06-30,true,7.82805029915398e-7,-7.867192360591187e-9,4.1243142445061115e-9,0.09555041641478045,0.013710741864364814,-1.4125393230609643e-9,-1.5650610834676698e-9,-1.1312031543532416e-9,0.21415973740799557,0.3000000292849826,0.15817015449850008,0.10039849874961417,0.09279008722039943,8.216549812422093e-9,-1.3306923680115665e-8,0.025220358088500587,-1.0598751517963428e-8
2011-07-29,true,7.656356813154155e-7,-1.2674365014049743e-8,1.1637291487265455e-9,0.09555074867025656,0.013710458056304557,-5.373499922384212e-9,-4.652257726109779e-9,-4.58617718223437e-9,0.21415975499874398,0.30000003249365065,0.1581701842614703,0.10039847773673014,0.09279008140401299,7.602025197226841e-9,-1.6582013195646605e-8,0.025220312179331465,-1.4709567018927371e-8
2011-08-31,true,6.046797147591447e-7,-3.2667309354917445e-9,4.2281819008675974e-9,0.09555099145992857,0.013710212820254334,5.496501801641202e-11,4.4252119638193383e-10,3.696732112334803e-10,0.2141597449853642,0.3000000228222679,0.1581701944258058,0.10039847421463,0.09279007427472295,2.815640972952465e-9,-3.3006340949281397e-9,0.025220290204445158,-6.5498934055895934e-9
2011-09-30,true,3.860719223814856e-7,1.2813608265110929e-8,1.2701112714144013e-8,0.09555092329039681,0.013710224584907916,1.005654468258168e-8,9.086660174574145e-9,1.013041697301987e-8,0.2141597079973911,0.29999999666452376,0.15817017225774527,0.10039848735036806,0.0927900408155344,-2.4426434653344574e-9,9.209066932927595e-9,0.025220392850143533,-7.4055098007184605e-9
2011-10-31,true,1.5038432232738126e-6,2.9508991509272862e-8,-2.7280797351282065e-9,0.09555138964670583,0.013709686422773067,1.0732031488583331e-7,2.6248077469619907e-8,2.5372047565233287e-8,0.2141596874939812,0.29999998746898004,0.15817008640526276,0.10039840466055955,0.09279004566304197,4.0933595917838916e-9,5.592273788791214e-8,0.025220457088848635,9.550744507885675e-9
2011-11-30,true,3.588162414929977e-6,3.6088365778412584e-8,2.7226099444550618e-8,0.09555291183299197,0.013708140032165708,6.014552168100681e-8,-5.496593172744687e-8,7.807291453637074e-8,0.21415963640476587,0.29999995464275586,0.15817011981806023,0.10039844763320138,0.09279008258095175,1.5799454482625338e-8,2.0600609120217154e-8,0.02522049762641753,2.6728461954499525e-8
2011-12-30,true,1.4519943612720655e-6,8.578871410743973e-8,1.0786573105101867e-7,0.09555309121522856,0.01370815837172001,6.447172373331254e-8,2.817254155203872e-7,-2.8803046853564746e-7,0.2141595834062667,0.2999998832820003,0.15817011016499433,0.10039845410152079,0.09279011635017237,3.220386531535239e-8,1.4621161730446802e-8,0.025220297042023092,7.134917224669485e-9
2012-01-31,true,1.1212792127318857e-6,3.79131843113907e-8,4.272426300859175e-8,0.09555316423847614,0.013708222172047911,1.478640685172455e-8,1.0250314610761064e-7,-1.1066602995057018e-7,0.21415967209944872,0.2999998874239811,0.15817017451929102,0.10039838656220065,0.09279004056514938,7.541996573230001e-9,-3.246776629422032e-9,0.025220386406597548,-2.5623513095075877e-8
2012-02-29,true,7.473612277228977e-7,1.2367477090566097e-8,-8.199509301970547e-9,0.09555316682333084,0.013708268662169565,-4.889882269237895e-9,1.699236066330833e-8,-2.3828479486243982e-8,0.21415976234832748,0.29999987161567376,0.15817022357262722,0.10039829709528422,0.09278997047918827,-2.060507430256148e-9,-1.02992102873309e-8,0.025220484055437933,-2.4798544160865092e-8
2012-03-30,true,6.882142019977217e-7,8.535098416059005e-9,-4.3485906592575754e-9,0.09555306133013215,0.013708274768805094,-9.480356651453044e-10,-1.273004793188822e-8,8.19179083819542e-9,0.21415981927543165,0.2999998404308045,0.1581702647197899,0.10039820626012165,0.09278989387756582,-8.41470432332554e-9,-2.595940812131573e-9,0.025220668913372046,-1.7163320813863745e-8
2012-04-30,true,4.60585959885024e-7,-2.093764838601105e-9,4.869529762247475e-9,0.0955529655175824,0.01370827760366226,5.0831640895960905e-9,-9.62147732617618e-9,2.8010524285549604e-9,0.21415986351724042,0.29999982478769993,0.15817029413044903,0.10039815265525542,0.09278984524512647,-8.994570950014243e-9,-1.554659940628751e-9,0.025220798656287638,-1.249920145848031e-8
2012-05-31,true,3.6726365509722905e-7,-7.018858010237267e-9,9.983836521166181e-9,0.09555286683148145,0.01370829316551007,5.754257661602034e-9,3.907288010034131e-9,-1.3106801605901926e-8,0.21415989025205065,0.29999981863829056,0.15817032136858744,0.10039813202100706,0.09278980796116991,-8.844595086762459e-9,-1.6076550598231801e-9,0.02522089058839669,-9.80625095681562e-9
2012-06-29,true,3.859354195386291e-7,-1.0574056198567673e-8,1.1037519978857426e-8,0.09555275439329833,0.013708311875678697,9.799721787464742e-9,6.953488409109933e-9,-1.7918507824774174e-8,0.2141599183166753,0.2999998123853034,0.15817035076521066,0.1003981134289455,0.09278976126401514,-9.4687041951785e-9,8.670879331654666e-10,0.025220996256528187,-9.301870538731514e-9
2012-07-31,true,3.1724309468448875e-7,-6.956301715680134e-9,5.487359963168465e-9,0.09555265484153315,0.013708327803195062,5.003691108000236e-9,7.75644606925728e-9,-1.2633894698498024e-8,0.21415993827975602,0.29999980896281564,0.15817038125548305,0.10039810206945685,0.09278972730934427,-8.771328768988645e-9,1.0163692128090775e-9,0.025221076669304756,-8.039007003458929e-9
2012-08-31,true,2.994216264622276e-7,-5.679599521990033e-9,4.609745349590011e-9,0.09555256737472238,0.013708314428634143,8.052683715362222e-9,7.402012893851021e-9,-1.041500838390426e-8,0.2141599637046611,0.29999980619893013,0.1581704056753237,0.10039808502366944,0.09278969966832906,-8.450083923761435e-9,8.336901109471649e-10,0.025221167515364525,-5.880798695315578e-9
2012-09-28,true,3.1218568002600486e-7,-8.410723741919668e-9,4.972073823074036e-9,0.09555248295813513,0.013708292777424963,1.2574854336288981e-8,-3.2891677733750887e-9,-4.961507729212064e-9,0.21415998768230485,0.29999980686465677,0.15817042879414805,0.10039807109526183,0.0927896771229093,-8.566241977521567e-9,6.047745124975846e-9,0.02522125795579742,-3.529887827298745e-9
